id,text
1,"um so if you're trying to create viral marketing videos without any editing skills, listen up"
2,"just learned how to make professional UGC videos in minutes without expensive software"
3,"tired of spending hours editing marketing videos? this tool just changed everything"
4,"bruh i wish i had known about this video generator when i was struggling with content creation"
5,"omg just found the easiest way to create UGC-style videos without any editing experience"
6,"if you're a content creator who needs to make videos fast, you need to see this"
7,"um so my friend just showed me how to create a week's worth of content in under an hour"
8,"this tool literally takes the stress out of creating marketing videos—game changer"
9,"if you're trying to scale your content but don't have time for editing, listen up"
10,"no way i've been spending hours on video editing when this tool exists"
11,"wdym you're still manually editing all your marketing videos??"
12,"if you're a small business trying to create professional videos on a budget, you need this"
13,"just found out how to create viral-style hooks and CTAs without any video skills"
14,"this automated video tool just saved me 10+ hours of editing work every week"
15,"um so if you're struggling to create consistent content for your brand, this will change everything"
